campaign_name,campaign_id,adset_name,adset_id,ad_name,ad_id,kind,platform,status,accounting_mode,attribution_model,attribution_window,spend,impressions,meta_link_clicks,attributed_rev,transactions,roas,meta_3s_video_views
Campaign ID: 120 201316864050716,120 201316864050716,"Adset ID: 120201316864020716, Campaign ID: 120 201316864050716",120201316864020716,"Ad ID: 120205780992000716, Adset ID: 120201316864020716, Campaign ID: 120 201316864050716",120205780992000716,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
Campaign ID: 120203718624500236,120203718624500236,"Adset ID: 120215147717890236, Campaign ID: 120203718624500236",120215147717890236,"Ad ID: 120203718624540236, Adset ID: 120215147717890236, Campaign ID: 120203718624500236",120203718624540236,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
Campaign ID: 120207563537830755,120207563537830755,"Adset ID: 120207563537840755, Campaign ID: 120207563537830755",120207563537840755,"Ad ID: 120220221065200755, Adset ID: 120207563537840755, Campaign ID: 120207563537830755",120220221065200755,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
Campaign ID: 12020782150169 0716,12020782150169 0716,"Adset ID: 120207821501770716, Campaign ID: 12020782150169 0716",120207821501770716,"Ad ID: 120209258513030716, Adset ID: 120207821501770716, Campaign ID: 12020782150169 0716",120209258513030716,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
Campaign ID: 120207949021470770,120207949021470770,"Adset ID: 120209887979410770, Campaign ID: 120207949021470770",120209887979410770,"Ad ID: 120209887979420770, Adset ID: 120209887979410770, Campaign ID: 120207949021470770",120209887979420770,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
Campaign ID: 120216488566050626,120216488566050626,"Adset ID: 120216488565990626, Campaign ID: 120216488566050626",120216488565990626,"Ad ID: 120216488566000626, Adset ID: 120216488565990626, Campaign ID: 120216488566050626",120216488566000626,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,32.02,1.0,,
Campaign ID: 120217273905960204,120217273905960204,"Adset ID: 120217273905970204, Campaign ID: 120217273905960204",120217273905970204,"Ad ID: 120218941239770204, Adset ID: 120217273905970204, Campaign ID: 120217273905960204",120218941239770204,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
Campaign ID: 120218002347940606,120218002347940606,"Adset ID: 120218002347930606, Campaign ID: 120218002347940606",120218002347930606,"Ad ID: 120220101766270606, Adset ID: 120218002347930606, Campaign ID: 120218002347940606",120220101766270606,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
Campaign ID: 120219440025050606,120219440025050606,"Adset ID: 120219440025060606, Campaign ID: 120219440025050606",120219440025060606,"Ad ID: 120219440025040606, Adset ID: 120219440025060606, Campaign ID: 120219440025050606",120219440025040606,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
Campaign ID: 120222506785440086,120222506785440086,"Adset ID: 120222506785430086, Campaign ID: 120222506785440086",120222506785430086,"Ad ID: 120222506837640086, Adset ID: 120222506785430086, Campaign ID: 120222506785440086",120222506837640086,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
Campaign ID: 23844247466010798,23844247466010798,"Adset ID: 23844304807770798, Campaign ID: 23844247466010798",23844304807770798,"Ad ID: 23844323805980798, Adset ID: 23844304807770798, Campaign ID: 23844247466010798",23844323805980798,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,33.87,1.0,,
Campaign ID: 23861573756070571,23861573756070571,"Adset ID: 120217908933940572, Campaign ID: 23861573756070571",120217908933940572,"Ad ID: 120217908758220572, Adset ID: 120217908933940572, Campaign ID: 23861573756070571",120217908758220572,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
Campaign ID: 6635518302096,6635518302096,"Adset ID: 6639075476896, Campaign ID: 6635518302096",6639075476896,"Ad ID: 6667557741296, Adset ID: 6639075476896, Campaign ID: 6635518302096",6667557741296,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
Campaign ID: 6638757583268,6638757583268,"Adset ID: 6650739511468, Campaign ID: 6638757583268",6650739511468,"Ad ID: 6638757583068, Adset ID: 6650739511468, Campaign ID: 6638757583268",6638757583068,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
Facebook Organic (fbclid),,(no name),,(no name),,query,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,45641.18999999998,767.0,,
Meta Shops,__meta_shops__,Meta Shops,,Meta Shops,,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,375723.4000000001,9341.0,,
n:BEB ASC Evergreen 35% Cap_o:Canada_p:250115 Campaign,120214956798530606,n:BEB ASC Evergreen 35% Cap_o:Canada_p:250115 Ad set,120214956798520606,a:BEB_b:MultiModel-BEB-Nikki-Model-1x1MacroGridEverydayEssentialsLaunch_c:ProdApp_d:_e:Static_f:PDP_g:250115,120214978965280606,_,fb,Active,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
