campaign_name,campaign_id,adset_name,adset_id,ad_name,ad_id,kind,platform,status,accounting_mode,attribution_model,attribution_window,spend,impressions,meta_link_clicks,attributed_rev,transactions,roas,meta_3s_video_views
Facebook Organic (fbclid),,(no name),,(no name),,query,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,233.68,5.0,,
Meta Shops,__meta_shops__,Meta Shops,,Meta Shops,,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,315.99,9.0,,
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowGel_b:ARutherford-BrowGel-ProdApp-1080x1080-Audrey-QuickandEasy_c:ProdApp_d:_e:Video_f:PDP_g:230405 - Copy 2,120210534082090716,_,fb,Active,Accrual performance,Last non-direct touch,1,80.21000099999998,2138.0,18.0,0.0,0.0,0.0,643.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowGel_b:HMoulder-BrowGel-ProdApp-4x5-Merida-V4_c:ProdApp_d:_e:Video_f:PDP_g:25027,120217807016320716,_,fb,Active,Accrual performance,Last non-direct touch,1,208.169999,11799.0,91.0,56.95,2.0,0.2735744837083848,2597.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowGel_b:LKiesling-BrowGel-ProdApp-Nan-Mature-V2_c:ProdApp_d:_e:Video_f:PDP_g:250130,120215668819140716,_,fb,Active,Accrual performance,Last non-direct touch,1,153.25,5792.0,57.0,80.76,1.0,0.5269820554649266,1392.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowGel_b:MultiModel-BrowGel-ProdApp-1080x1350-NA-MultiBrowGel2.0-NA-RHMConceptualFB-DEI-RHM660V2_c:ProdApp_d:_e:Video_f:PDP_g:240202,120209527357420716,_,fb,Paused,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowLiner_b:CGilson-BrowLiner-ProdApp-4x5-BCATestimonialIteration-Blanka-RHM1161V3_c:ProdApp_d:_e:Video_f:PDP_g:250227,120217807046340716,_,fb,Active,Accrual performance,Last non-direct touch,1,66.700001,2527.0,34.0,0.0,0.0,0.0,478.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowLiner_b:TH1103-Michelle-BrowLiner-A_c:ProdApp_d:See why beauty lovers_e:Video_f:PDP_g:240202_h:NRTV-BCA - Previous Top Performer,120210598690240716,_,fb,Active,Accrual performance,Last non-direct touch,1,98.160001,3582.0,57.0,64.47,2.0,0.6567848343848325,1038.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowPencil_b:Ash-QuickFixBrowPencil-ProdApp-B+A-1x1-Serena-USA_c:B&A_d:_e:Static_f:PDP_g:250730,120230799523110716,_,fb,Active,Accrual performance,Last non-direct touch,1,0.2,17.0,0.0,0.0,0.0,0.0,0.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowPencil_b:CGilson-BrowPencil-ProdApp-4x5-BrowPencilLaunchBCATestimonial-Blanka-RHM1318V1_c:ProdApp_d:_e:Video_f:PDP_g:250730_h:RHM,120230799168490716,_,fb,Active,Accrual performance,Last non-direct touch,1,751.67,19864.0,330.0,684.3,15.0,0.9103729030026472,5586.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowPencil_b:LKiesling-BrowPencil-ProdApp-1x1-Nan-V2-US_c:ProdApp_d:_e:Video_f:PDP_g:250730,120230799523160716,_,fb,Active,Accrual performance,Last non-direct touch,1,370.9,13193.0,187.0,591.73,10.0,1.5953895928821786,4277.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowPencil_b:LKiesling-BrowPencil-ProdApp-1x1-Nan-V2-US_c:ProdApp_d:_e:Video_f:PDP_g:250730,120230798848070716,_,fb,Active,Accrual performance,Last non-direct touch,1,150.95387700000003,5009.0,78.0,191.18,5.0,1.266479561833314,1520.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowPencil_b:Lisa-QuickFixBrowPencil-ProdApp-B+A-1x1-Nan-USA_c:B&A_d:_e:Static_f:PDP_g:250730,120230799523150716,_,fb,Active,Accrual performance,Last non-direct touch,1,0.360001,34.0,0.0,0.0,0.0,0.0,0.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowPencil_b:Louise QuickFixBrowPencil-Animation-1x1-B+ASlider-USA_c:B&A_d:_e:GIF_f:PDP_g:250730,120230799523120716,_,fb,Active,Accrual performance,Last non-direct touch,1,1.170001,38.0,1.0,0.0,0.0,0.0,16.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowPencil_b:NoModel-QuickFillEyebrowPencil-ProdShot-4x5-Quote-Evergreen-V1_c:ProdShot_d:_e:Static_f:PDP_g:250730,120230799523140716,_,fb,Active,Accrual performance,Last non-direct touch,1,8.020001,231.0,1.0,0.0,0.0,0.0,0.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:Browgel_b:TH1617-MultiUGC-MatureWomenBrowGel-A_c:ProdApp_d:_e:Video_f:PDP_g:250709_h:NRTV2025,120229513780090716,_,fb,Active,Accrual performance,Last non-direct touch,1,92.48,2735.0,35.0,55.3,1.0,0.5979671280276815,618.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:IWEL_b:JMoore-Eyeliner-ProdApp-4x5-Testimonial-RHM1220V1_c:ProdApp_d:_e:Video_f:PDP_g:250423_h:RHM,120223427746590716,_,fb,Active,Accrual performance,Last non-direct touch,1,1.94,50.0,0.0,0.0,0.0,0.0,13.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:IWEL_b:JMoore-IWEL-ProdApp-4x5-TestimonialIteration-RHM1252V4_c:ProdApp_d:_e:Video_f:PDP_g:250521_h:RHM,120226300418680716,_,fb,Active,Accrual performance,Last non-direct touch,1,4.719999,173.0,1.0,0.0,0.0,0.0,31.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:IWEL_b:Kbodnar-IWEL-ProdApp-9x16-Plum-V1_c:ProdApp_d:_e:Video_f:PDP_g:240901_h:TCCPBCA,120212133534020716,_,fb,Active,Accrual performance,Last non-direct touch,1,28.116846,1251.0,17.0,0.0,0.0,0.0,288.0
