campaign_name,campaign_id,adset_name,adset_id,ad_name,ad_id,kind,platform,status,accounting_mode,attribution_model,attribution_window,spend,impressions,meta_link_clicks,attributed_rev,transactions,roas,meta_3s_video_views
Campaign ID: 120223848723100147,120223848723100147,"Adset ID: 120223848723110147, Campaign ID: 120223848723100147",120223848723110147,"Ad ID: 120223848723150147, Adset ID: 120223848723110147, Campaign ID: 120223848723100147",120223848723150147,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
Facebook Organic (fbclid),,(no name),,(no name),,query,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,2722.4700000000003,45.0,,
Meta Shops,__meta_shops__,Meta Shops,,Meta Shops,,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,12572.55,316.0,,
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowGel_b:AHoover-BrowGel-ProdApp-4x5-Testimonial-April-RHM1131V1_c:ProdApp_d:_e:Video_f:PDP_g:250130,120215668956380716,_,fb,Active,Accrual performance,Last non-direct touch,1,3174.6499999999996,105753.0,1152.0,535.3499999999999,12.0,0.1686327626667506,36125.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowGel_b:ARutherford-BrowGel-ProdApp-1080x1080-Audrey-QuickandEasy_c:ProdApp_d:_e:Video_f:PDP_g:230405 - Copy 2,120210534082090716,_,fb,Active,Accrual performance,Last non-direct touch,1,4139.679995,153702.0,1513.0,1565.2300000000002,36.0,0.3781041051217776,48115.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowGel_b:HMoulder-BrowGel-ProdApp-4x5-Merida-V4_c:ProdApp_d:_e:Video_f:PDP_g:25027,120217807016320716,_,fb,Active,Accrual performance,Last non-direct touch,1,2109.3400039999997,93081.0,680.0,408.81,7.0,0.1938094376557417,27538.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowGel_b:KBodnar-BrowGel-ProdApp-4x5-Podcast-V2_c:ProdApp_d:_e:Video_f:PDP_g:250423,120223429263790716,_,fb,Paused,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowGel_b:LKiesling-BrowGel-ProdApp-Nan-Mature-V2_c:ProdApp_d:_e:Video_f:PDP_g:250130,120215668819140716,_,fb,Active,Accrual performance,Last non-direct touch,1,1456.13,64036.0,737.0,592.94,15.0,0.4072026536092244,16548.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowGel_b:Model-EyebrowGel-ProdApp-4x5-Before+After-ShadeOverview-Evergreen_c:B&A_d:_e:Static_f:PDP_g:250618,120228329858860716,_,fb,Paused,Accrual performance,Last non-direct touch,1,45.53000200000001,2229.0,26.0,0.0,0.0,0.0,0.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowGel_b:PPhillips-BrowGel-ProdApp-1080x1350-NA-2024-NA-RHMConceptualFB-RHM749V3_c:ProdApp_d:_e:Video_f:PDP_g:240105 - Previous Top Performer,120207821501920716,_,fb,Paused,Accrual performance,Last non-direct touch,1,233.86999699999996,7091.0,98.0,128.6,3.0,0.549878144480414,2130.0
